q = 10 	 n = 5
@@@@@@@@ Left sum: @@@@@@@@@@
+i: 1	 summand: 1.0e-8*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2
+i: 2	 summand: 1.0e-6*K4*KNeg5*KNeg2**2*KNeg3**2*KNeg4**2
+i: 3	 summand: 0.0001*K4*KNeg5*KNeg3**2*KNeg4**2
+i: 4	 summand: 0.01*K4*KNeg5*KNeg4**2
+i: 5	 summand: K4*KNeg5
-i: 1 	 summand: 100000000*KNeg4*K5*K1**2*K2**2*K3**2*K4**2
-i: 2 	 summand: 1000000*KNeg4*K5*K2**2*K3**2*K4**2
-i: 3 	 summand: 10000*KNeg4*K5*K3**2*K4**2
-i: 4 	 summand: 100*KNeg4*K5*K4**2
-i: 5 	 summand: KNeg4*K5
@@@@@@@@ Right sum: @@@@@@@@@@
i: 1 	 j: 2 	 summand: 9.801e-6*F1*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2*K1*E1
i: 1 	 j: 3 	 summand: 0.00096059601*(1.01010101010101*F1*F2 - 0.101010101010101*F2*F1)*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2*K1*K2*(-0.101010101010101*E1*E2 + 1.01010101010101*E2*E1)
i: 1 	 j: 4 	 summand: 0.0941480149401*(1.02030405060708*F1*F2*F3 - 0.102030405060708*F1*F3*F2 - 0.102030405060708*F2*F1*F3 + 0.0102030405060708*F3*F2*F1)*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2*K1*K2*K3*(0.0102030405060708*E1*E2*E3 - 0.102030405060708*E2*E3*E1 - 0.102030405060708*E3*E1*E2 + 1.02030405060708*E3*E2*E1)
i: 1 	 j: 5 	 summand: 9.2274469442792*(1.03061015212836*F1*F2*F3*F4 - 0.103061015212836*F1*F2*F4*F3 - 0.103061015212836*F1*F3*F2*F4 + 0.0103061015212836*F1*F4*F3*F2 - 0.103061015212836*F2*F1*F3*F4 + 0.0103061015212836*F2*F1*F4*F3 + 0.0103061015212836*F3*F2*F1*F4 - 0.00103061015212836*F4*F3*F2*F1)*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2*K1*K2*K3*K4*(-0.00103061015212836*E1*E2*E3*E4 + 0.0103061015212836*E2*E3*E4*E1 + 0.0103061015212836*E3*E4*E1*E2 - 0.103061015212836*E3*E4*E2*E1 + 0.0103061015212836*E4*E1*E2*E3 - 0.103061015212836*E4*E2*E3*E1 - 0.103061015212836*E4*E3*E1*E2 + 1.03061015212836*E4*E3*E2*E1)
i: 2 	 j: 3 	 summand: 0.0009801*F2*K4*KNeg5*KNeg2**2*KNeg3**2*KNeg4**2*K2*E2
i: 2 	 j: 4 	 summand: 0.096059601*(1.01010101010101*F2*F3 - 0.101010101010101*F3*F2)*K4*KNeg5*KNeg2**2*KNeg3**2*KNeg4**2*K2*K3*(-0.101010101010101*E2*E3 + 1.01010101010101*E3*E2)
i: 2 	 j: 5 	 summand: 9.41480149401*(1.02030405060708*F2*F3*F4 - 0.102030405060708*F2*F4*F3 - 0.102030405060708*F3*F2*F4 + 0.0102030405060708*F4*F3*F2)*K4*KNeg5*KNeg2**2*KNeg3**2*KNeg4**2*K2*K3*K4*(0.0102030405060708*E2*E3*E4 - 0.102030405060708*E3*E4*E2 - 0.102030405060708*E4*E2*E3 + 1.02030405060708*E4*E3*E2)
i: 3 	 j: 4 	 summand: 0.09801*F3*K4*KNeg5*KNeg3**2*KNeg4**2*K3*E3
i: 3 	 j: 5 	 summand: 9.6059601*(1.01010101010101*F3*F4 - 0.101010101010101*F4*F3)*K4*KNeg5*KNeg3**2*KNeg4**2*K3*K4*(-0.101010101010101*E3*E4 + 1.01010101010101*E4*E3)
i: 4 	 j: 5 	 summand: 9.801*F4*K4*KNeg5*KNeg4**2*K4*E4
i: 1 	 -j: 1 	 summand: -8514577710.94876*(0.0132979112767051*F1*F2*F3*F2*F3*F5*F4*F1 - 0.00106215728567172*F1*F2*F3*F4*F1*F2*F3*F5 + 0.239401896394913*F1*F2*F3*F4*F2*F3*F5*F1 - 0.0619292638109758*F1*F2*F3*F4*F3*F5*F2*F1 + 0.024864096178268*F1*F2*F3*F5*F2*F3*F4*F1 + 2.32904870724304*F1*F2*F3*F5*F3*F4*F1*F2 - 0.0284119212225727*F1*F2*F3*F5*F3*F4*F2*F1 + 0.0107277885852652*F1*F2*F3*F5*F4*F1*F2*F3 + 0.336340276758781*F1*F2*F3*F5*F4*F2*F3*F1 + 0.0010621572856736*F1*F2*F3*F5*F4*F3*F1*F2 + 1.0728861364126*F1*F2*F3*F5*F4*F3*F2*F1 + 0.0528876654943212*F1*F2*F3**2*F5*F4*F1*F2 + 0.0163393155615549*F1*F2*F3**2*F5*F4*F2*F1 - 0.00810572407659843*F1*F2*F4*F3*F2*F3*F5*F1 + 0.0107277885852687*F1*F2*F4*F3*F5*F2*F3*F1 - 0.00208776548820699*F1*F2*F5*F3*F2*F3*F4*F1 - 0.0010621572856653*F1*F2*F5*F3*F4*F1*F2*F3 - 0.0624714006789366*F1*F2*F5*F3*F4*F3*F2*F1 - 0.0218961062609545*F1*F2*F5*F3**2*F4*F2*F1 - 0.00176643270885269*F1*F2*F5*F4*F2*F3**2*F1 - 0.0828835119812344*F1*F2*F5*F4*F3*F2*F3*F1 - 0.0424566170591179*F1*F2**2*F3*F5*F4*F3*F1 + 0.0010621572856703*F1*F3*F2*F1*F2*F3*F5*F4 + 0.209439559471583*F1*F3*F2*F3*F5*F4*F1*F2 + 0.0101677590070545*F1*F3*F2*F3*F5*F4*F2*F1 + 0.000105164087689784*F1*F3*F2*F4*F1*F2*F3*F5 - 0.0418402804432242*F1*F3*F2*F4*F2*F3*F5*F1 - 0.00106215728567225*F1*F3*F2*F4*F3*F5*F1*F2 + 0.0106226244975771*F1*F3*F2*F4*F3*F5*F2*F1 - 0.00106215728557397*F1*F3*F2*F5*F3*F4*F1*F2 + 0.0405465719349114*F1*F3*F2*F5*F3*F4*F2*F1 - 0.00641468788580652*F1*F3*F2*F5*F4*F1*F2*F3 - 0.10728850742553*F1*F3*F2*F5*F4*F3*F2*F1 + 0.000105164087690381*F1*F3*F4*F3*F2*F5*F1*F2 - 0.0688334306791134*F1*F3*F5*F3*F2*F4*F1*F2 + 0.0145144281117652*F1*F3*F5*F4*F1*F2**2*F3 + 0.000105164087690224*F1*F3*F5*F4*F3*F1*F2**2 + 0.00106215728567098*F1*F4*F3*F2*F1*F2*F3*F5 - 0.00106215728562828*F1*F4*F3*F2*F5*F3*F1*F2 + 0.23816682962287*F1*F5*F3*F2*F1*F2*F3*F4 + 0.0107277885852738*F1*F5*F3*F2*F4*F3*F2*F1 + 0.00366245318312236*F1*F5*F3**2*F4*F1*F2**2 + 0.00106215728566891*F1*F5*F4*F3*F2*F1*F2*F3 - 0.0107277885852674*F1**2*F2*F3*F5*F4*F3*F2 + 0.00106215728566977*F2*F1*F2*F3*F5*F4*F3*F1 + 0.0107277885852707*F2*F1*F3*F4*F3*F5*F2*F1 - 0.0010621572857006*F2*F1*F3*F5*F2*F3*F4*F1 - 0.585900357999725*F2*F1*F3*F5*F3*F4*F2*F1 - 0.107288507425533*F2*F1*F3*F5*F4*F3*F2*F1 + 0.0679095241403368*F2*F1*F3**2*F5*F4*F2*F1 - 0.00106215728566866*F2*F1*F4*F3*F5*F2*F3*F1 - 0.114277185977592*F2*F1*F5*F3*F4*F3*F2*F1 + 0.0848749374741415*F2*F1*F5*F3**2*F4*F1*F2 + 0.609491090761855*F2*F1*F5*F4*F3*F2*F3*F1 - 0.0124353392069858*F2*F5*F4*F2*F1*F3**2*F1 + 0.0107277885852627*F3*F2*F1*F5*F4*F3*F2*F1 - 0.000105164087690139*F3*F2*F4*F3*F5*F2*F1**2 - 0.00106215728565227*F5*F3*F2*F1*F4*F3*F2*F1)*(0.0132979112767051*E1*E2*E3*E2*E3*E4*E5*E1 + 0.024864096178268*E1*E2*E3*E4*E2*E3*E5*E1 + 2.32904870724304*E1*E2*E3*E4*E3*E5*E1*E2 - 0.0284119212225727*E1*E2*E3*E4*E3*E5*E2*E1 + 0.0107277885852652*E1*E2*E3*E4*E5*E1*E2*E3 + 0.336340276758781*E1*E2*E3*E4*E5*E2*E3*E1 + 0.0010621572856736*E1*E2*E3*E4*E5*E3*E1*E2 + 1.0728861364126*E1*E2*E3*E4*E5*E3*E2*E1 - 0.00106215728567172*E1*E2*E3*E5*E1*E2*E3*E4 + 0.239401896394913*E1*E2*E3*E5*E2*E3*E4*E1 - 0.0619292638109758*E1*E2*E3*E5*E3*E4*E2*E1 + 0.0528876654943212*E1*E2*E3**2*E4*E5*E1*E2 + 0.0163393155615549*E1*E2*E3**2*E4*E5*E2*E1 - 0.00208776548820699*E1*E2*E4*E3*E2*E3*E5*E1 - 0.0010621572856653*E1*E2*E4*E3*E5*E1*E2*E3 - 0.0624714006789366*E1*E2*E4*E3*E5*E3*E2*E1 - 0.0218961062609545*E1*E2*E4*E3**2*E5*E2*E1 - 0.00176643270885269*E1*E2*E4*E5*E2*E3**2*E1 - 0.0828835119812344*E1*E2*E4*E5*E3*E2*E3*E1 - 0.00810572407659843*E1*E2*E5*E3*E2*E3*E4*E1 + 0.0107277885852687*E1*E2*E5*E3*E4*E2*E3*E1 - 0.0424566170591179*E1*E2**2*E3*E4*E5*E3*E1 + 0.0010621572856703*E1*E3*E2*E1*E2*E3*E4*E5 + 0.209439559471583*E1*E3*E2*E3*E4*E5*E1*E2 + 0.0101677590070545*E1*E3*E2*E3*E4*E5*E2*E1 - 0.00106215728557397*E1*E3*E2*E4*E3*E5*E1*E2 + 0.0405465719349114*E1*E3*E2*E4*E3*E5*E2*E1 - 0.00641468788580652*E1*E3*E2*E4*E5*E1*E2*E3 - 0.10728850742553*E1*E3*E2*E4*E5*E3*E2*E1 + 0.000105164087689784*E1*E3*E2*E5*E1*E2*E3*E4 - 0.0418402804432242*E1*E3*E2*E5*E2*E3*E4*E1 - 0.00106215728567225*E1*E3*E2*E5*E3*E4*E1*E2 + 0.0106226244975771*E1*E3*E2*E5*E3*E4*E2*E1 - 0.0688334306791134*E1*E3*E4*E3*E2*E5*E1*E2 + 0.0145144281117652*E1*E3*E4*E5*E1*E2**2*E3 + 0.000105164087690224*E1*E3*E4*E5*E3*E1*E2**2 + 0.000105164087690381*E1*E3*E5*E3*E2*E4*E1*E2 + 0.23816682962287*E1*E4*E3*E2*E1*E2*E3*E5 + 0.0107277885852738*E1*E4*E3*E2*E5*E3*E2*E1 + 0.00366245318312236*E1*E4*E3**2*E5*E1*E2**2 + 0.00106215728566891*E1*E4*E5*E3*E2*E1*E2*E3 + 0.00106215728567098*E1*E5*E3*E2*E1*E2*E3*E4 - 0.00106215728562828*E1*E5*E3*E2*E4*E3*E1*E2 - 0.0107277885852674*E1**2*E2*E3*E4*E5*E3*E2 + 0.00106215728566977*E2*E1*E2*E3*E4*E5*E3*E1 - 0.0010621572857006*E2*E1*E3*E4*E2*E3*E5*E1 - 0.585900357999725*E2*E1*E3*E4*E3*E5*E2*E1 - 0.107288507425533*E2*E1*E3*E4*E5*E3*E2*E1 + 0.0107277885852707*E2*E1*E3*E5*E3*E4*E2*E1 + 0.0679095241403368*E2*E1*E3**2*E4*E5*E2*E1 - 0.114277185977592*E2*E1*E4*E3*E5*E3*E2*E1 + 0.0848749374741415*E2*E1*E4*E3**2*E5*E1*E2 + 0.609491090761855*E2*E1*E4*E5*E3*E2*E3*E1 - 0.00106215728566866*E2*E1*E5*E3*E4*E2*E3*E1 - 0.0124353392069858*E2*E4*E5*E2*E1*E3**2*E1 + 0.0107277885852627*E3*E2*E1*E4*E5*E3*E2*E1 - 0.000105164087690139*E3*E2*E5*E3*E4*E2*E1**2 - 0.00106215728565227*E4*E3*E2*E1*E5*E3*E2*E1)
